# Written on 11Apr2024 at 15:14:19 
# Input file comment: k-mesh for interpolation of KRrBr2
#  Kpt_idx  K_x (1/ang)       K_y (1/ang)        K_z (1/ang)       Energy (eV)      EnergyDer_x       EnergyDer_y       EnergyDer_z
        17 -0.3814371498      0.5340120098     -0.3814371498       1.868292015      0.2148421229       2.181129741      0.2148414931    
        18 -0.4577245798      0.6102994398     -0.4577245798       1.108129383     -0.2230169042      -1.176942084     -0.2230146658    
        18 -0.4577245798      0.6102994398     -0.4577245798       1.341837156      0.9694924669     -0.7918370310E-01  0.9694899154    
        18 -0.4577245798      0.6102994398     -0.4577245798       1.432592161     -0.6051969647     -0.1203989171     -0.6051981973    
        18 -0.4577245798      0.6102994398     -0.4577245798       1.452081060      0.5679484774      0.1525907555      0.5679458338    
        18 -0.4577245798      0.6102994398     -0.4577245798       1.708642971      -1.005454171      0.1216637815E-01  -1.005453212    
        18 -0.4577245798      0.6102994398     -0.4577245798       1.992785596      0.1349830822       1.736645004      0.1349840426    
        19 -0.5340120098      0.6865868697     -0.5340120098       1.055842894     -0.4698693738E-02 -0.6053316210     -0.4700485710E-02
        19 -0.5340120098      0.6865868697     -0.5340120098       1.199168766      0.8065581860     -0.6449828969E-01  0.8065592353    
        19 -0.5340120098      0.6865868697     -0.5340120098       1.292748722       1.096893542      0.9264025809E-01   1.096890550    
        19 -0.5340120098      0.6865868697     -0.5340120098       1.625811325      -1.478543080     -0.8369823506E-01  -1.478543559    
        19 -0.5340120098      0.6865868697     -0.5340120098       1.860537568     -0.9538325400      0.3773967567E-02 -0.9538334987    
        19 -0.5340120098      0.6865868697     -0.5340120098       2.084534649      0.6000119453E-01   1.004623332      0.6000358419E-01
        20 -0.6102994398      0.7628742997     -0.6102994398       1.024135901      0.9617477580E-01 -0.1187991228E-05  0.9617588864E-01
        20 -0.6102994398      0.7628742997     -0.6102994398       1.090828992      0.5689835253     -0.2808723883E-05  0.5689837224    
        20 -0.6102994398      0.7628742997     -0.6102994398       1.141962616      0.8665947597     -0.3765879862E-05  0.8665993240    
        20 -0.6102994398      0.7628742997     -0.6102994398       1.854536998      -1.459682188     -0.1079546343E-05  -1.459680065    
        20 -0.6102994398      0.7628742997     -0.6102994398       1.993319581     -0.7609681185     -0.2052453040E-06 -0.7609680231    
        20 -0.6102994398      0.7628742997     -0.6102994398       2.119243743      0.1303013073E-01 -0.1862293167E-05  0.1303240388E-01
        21  0.1525748599      0.1525748599      0.1525748599       1.102968572      0.1638344927      0.4910773884      0.6114562990    
        21  0.1525748599      0.1525748599      0.1525748599       1.102968944      0.6804074258      0.3531748964      0.2327917961    
        21  0.1525748599      0.1525748599      0.1525748599       1.160147454      0.5586303652      0.5586267890      0.5586310138    
        21  0.1525748599      0.1525748599      0.1525748599       1.815951030     -0.9821922370     -0.9821955763     -0.9821913117    
        21  0.1525748599      0.1525748599      0.1525748599       1.992786226     -0.5549398530     -0.5986528895     -0.3759605459    
        21  0.1525748599      0.1525748599      0.1525748599       1.992786420     -0.4647543253     -0.4210434500     -0.6437375788    
        22  0.7628742997E-01  0.2288622899      0.7628742997E-01   1.054286721      0.2783227620      0.2393327679      0.2783201693    
        22  0.7628742997E-01  0.2288622899      0.7628742997E-01   1.057131669      0.3150455108      0.1876930183      0.3150452340    
        22  0.7628742997E-01  0.2288622899      0.7628742997E-01   1.235105159      0.9236898665E-01   1.853694581      0.9236747386E-01
        22  0.7628742997E-01  0.2288622899      0.7628742997E-01   1.698111743     -0.3823542024E-01  -2.937751065     -0.3823835187E-01
        22  0.7628742997E-01  0.2288622899      0.7628742997E-01   2.068619770     -0.6017657039      0.3772389471E-01 -0.6017729335    
        22  0.7628742997E-01  0.2288622899      0.7628742997E-01   2.083915641     -0.4252849436     -0.1769102161E-01 -0.4252894547    
        23   0.000000000      0.3051497199       0.000000000       1.053768866      0.2788782892E-05  0.2930942095     -0.1133204737E-05
        23   0.000000000      0.3051497199       0.000000000       1.053769060     -0.4028309283E-06  0.2930948927      0.1824263662E-05
        23   0.000000000      0.3051497199       0.000000000       1.389778148      0.4330898305E-05   2.344459479      0.2803892526E-05
        23   0.000000000      0.3051497199       0.000000000       1.459048468      0.2848644029E-05  -3.216581964      0.8293961469E-07
        23   0.000000000      0.3051497199       0.000000000       2.115170912      0.1332915435E-05 -0.2866352829E-01 -0.3232077547E-05
        23   0.000000000      0.3051497199       0.000000000       2.115171038      0.5898904518E-05 -0.2866539462E-01 -0.3193949929E-05
        24 -0.7628742997E-01  0.3814371498     -0.7628742997E-01   1.089538041     -0.1687643896      0.2244750260     -0.1687591260    
        24 -0.7628742997E-01  0.3814371498     -0.7628742997E-01   1.096785945     -0.2587330824      0.2999311670     -0.2587300521    
        24 -0.7628742997E-01  0.3814371498     -0.7628742997E-01   1.229706179     -0.1543317382      -2.986326144     -0.1543350134    
        24 -0.7628742997E-01  0.3814371498     -0.7628742997E-01   1.582838986     -0.1622589698E-01   2.595373847     -0.1622275054E-01
        24 -0.7628742997E-01  0.3814371498     -0.7628742997E-01   2.076201986      0.4683273232      0.5070055619E-01  0.4683190171    
        24 -0.7628742997E-01  0.3814371498     -0.7628742997E-01   2.079762269      0.4233124900     -0.3664079843E-01  0.4233159442    
        25 -0.1525748599      0.4577245798     -0.1525748599       1.063385564     -0.4093628808      -2.456281776     -0.4093627047    
        25 -0.1525748599      0.4577245798     -0.1525748599       1.129129885     -0.2265366676     -0.2137634552E-01 -0.2265387145    
        25 -0.1525748599      0.4577245798     -0.1525748599       1.175698392     -0.4861046466      0.2611156485     -0.4861040929    
        25 -0.1525748599      0.4577245798     -0.1525748599       1.776296473      0.9788093546E-01   2.554137163      0.9788055772E-01
        25 -0.1525748599      0.4577245798     -0.1525748599       1.984514057      0.7667823302     -0.4597193589E-01  0.7667800774    
        25 -0.1525748599      0.4577245798     -0.1525748599       1.994447104      0.7192847675      0.2542112335      0.7192872214    
        26 -0.2288622899      0.5340120098     -0.2288622899      0.9803562537     -0.6235311332      -1.821710806     -0.6235299483    
        26 -0.2288622899      0.5340120098     -0.2288622899       1.154337936     -0.2807183264     -0.2961915767     -0.2807175520    
        26 -0.2288622899      0.5340120098     -0.2288622899       1.282406358     -0.6769816166      0.1951572701     -0.6769840249    
        26 -0.2288622899      0.5340120098     -0.2288622899       1.844529152      0.9936529330     -0.6322353723E-01  0.9936535944    
        26 -0.2288622899      0.5340120098     -0.2288622899       1.892057279      0.8299257333      0.6786752820      0.8299317496    
        26 -0.2288622899      0.5340120098     -0.2288622899       1.943678980      0.2621755823       2.016037158      0.2621746750    
        27 -0.3051497199      0.6102994398     -0.3051497199      0.9660248646     -0.6586494532      -1.199219042     -0.6586499540    
        27 -0.3051497199      0.6102994398     -0.3051497199       1.181297791     -0.4690150353     -0.3902572141     -0.4690141766    
        27 -0.3051497199      0.6102994398     -0.3051497199       1.409850371     -0.8197845265      0.1350583361     -0.8197892917    
        27 -0.3051497199      0.6102994398     -0.3051497199       1.678083357       1.087890723     -0.9011693852E-01   1.087890484    
        27 -0.3051497199      0.6102994398     -0.3051497199       1.789041562       1.009507930      0.4744163670       1.009504602    
        27 -0.3051497199      0.6102994398     -0.3051497199       2.054941304      0.2511473847       1.707513557      0.2511480094    
        28 -0.3814371498      0.6865868697     -0.3814371498      0.9864906242     -0.4807006474     -0.6023268168     -0.4807025495    
        28 -0.3814371498      0.6865868697     -0.3814371498       1.254244171     -0.8456548431     -0.2430923165     -0.8456567502    
        28 -0.3814371498      0.6865868697     -0.3814371498       1.495415180      0.9740331512      0.6494625134E-01  0.9740369556    
        28 -0.3814371498      0.6865868697     -0.3814371498       1.561130090     -0.8257728986     -0.7193482944E-01 -0.8257785777    
        28 -0.3814371498      0.6865868697     -0.3814371498       1.653001105       1.157005932      0.2669439370       1.157007158    
        28 -0.3814371498      0.6865868697     -0.3814371498       2.123053644      0.1963692169      0.9539891914      0.1963657484    
        29 -0.4577245798      0.7628742997     -0.4577245798       1.016698231     -0.2178320064     -0.2057923272E-05 -0.2178307429    
        29 -0.4577245798      0.7628742997     -0.4577245798       1.335734274       1.000398318      0.2320691257E-05   1.000399380    
        29 -0.4577245798      0.7628742997     -0.4577245798       1.407025215      -1.264018149     -0.3230871525E-05  -1.264023585    
        29 -0.4577245798      0.7628742997     -0.4577245798       1.478749194       1.230476637     -0.4930985557E-06   1.230475779    
        29 -0.4577245798      0.7628742997     -0.4577245798       1.709356922      -1.009286142      0.1459714692E-05  -1.009285819    
        29 -0.4577245798      0.7628742997     -0.4577245798       2.136655010      0.1166394263      0.2202316515E-06  0.1166388065    
        30 -0.5340120098      0.8391617297     -0.5340120098       1.055842784     -0.4699556312E-02  0.6053339802     -0.4699283481E-02
        30 -0.5340120098      0.8391617297     -0.5340120098       1.199168726      0.8065588491      0.6449747345E-01  0.8065622188    
        30 -0.5340120098      0.8391617297     -0.5340120098       1.292748658       1.096894227     -0.9263762792E-01   1.096897587    
        30 -0.5340120098      0.8391617297     -0.5340120098       1.625810949      -1.478544740      0.8370059538E-01  -1.478549542    
        30 -0.5340120098      0.8391617297     -0.5340120098       1.860537282     -0.9538338144     -0.3779711227E-02 -0.9538374552    
        30 -0.5340120098      0.8391617297     -0.5340120098       2.084534523      0.6000066501E-01  -1.004623486      0.6000534208E-01
        31  0.2288622899      0.2288622899      0.2288622899       1.217810471      0.5979470566      0.5758285655      0.5419571726    
        31  0.2288622899      0.2288622899      0.2288622899       1.217812334      0.5458648607      0.5679803210      0.6018668723    
        31  0.2288622899      0.2288622899      0.2288622899       1.282360019      0.4695666463      0.4695667564      0.4695592948    
        31  0.2288622899      0.2288622899      0.2288622899       1.610212118     -0.7659362155     -0.7659339387     -0.7659329382    
        31  0.2288622899      0.2288622899      0.2288622899       1.858884356     -0.7753450651     -0.2654643662     -0.8955690901    
        31  0.2288622899      0.2288622899      0.2288622899       1.858884837     -0.5155794288      -1.025458272     -0.3953479980    
        32  0.1525748599      0.3051497199      0.1525748599       1.130477641      0.5112789899      0.1154212887E-01  0.5112819783    
        32  0.1525748599      0.3051497199      0.1525748599       1.135095175      0.5234176676      0.2538919546      0.5234082465    
        32  0.1525748599      0.3051497199      0.1525748599       1.401733646      0.1930601956E-01   2.166952202      0.1930355842E-01
        32  0.1525748599      0.3051497199      0.1525748599       1.479839841      0.1228679315      -2.786328421      0.1228672398    
        32  0.1525748599      0.3051497199      0.1525748599       1.958065365     -0.9069998656      0.1765268476     -0.9069958944    
        32  0.1525748599      0.3051497199      0.1525748599       1.990229621     -0.7615897260     -0.2691963488E-01 -0.7615887094    
        33  0.7628742997E-01  0.3814371498      0.7628742997E-01   1.089538031      0.1687615800      0.2244715477      0.1687591932    
        33  0.7628742997E-01  0.3814371498      0.7628742997E-01   1.096786093      0.2587261324      0.2999294452      0.2587327694    
        33  0.7628742997E-01  0.3814371498      0.7628742997E-01   1.229706804      0.1543355595      -2.986323803      0.1543321305    
        33  0.7628742997E-01  0.3814371498      0.7628742997E-01   1.582839757      0.1622273472E-01   2.595371771      0.1622026849E-01
        33  0.7628742997E-01  0.3814371498      0.7628742997E-01   2.076202178     -0.4682640413      0.5069890621E-01 -0.4683797479    
        33  0.7628742997E-01  0.3814371498      0.7628742997E-01   2.079762597     -0.4233637644     -0.3663835420E-01 -0.4232561148    
        34   0.000000000      0.4577245798       0.000000000      0.9975919050      0.2964269580E-05  -2.679386510      0.2614035117E-05
